VARIABLES = "Matrix Größe" "Rückwärtsdiff" "Vor - Rückwärtssubstitution" 
100	0.00013	0.000164
500	0.0021	0.00388
1000	0.0095	0.0152
2000	0.107	0.171
3000	0.28	0.43
4000	0.36	0.62
5000	0.602	0.954
6000	1.02	1.57
7000	1.466	2.14
8000	2.085	2.99
9000	3	4.3
